TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,Balance_Binned,Age_Binned,Target
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,20.0-29.0,0,1,0
795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,2.0,7914.879999999999,60.0-69.0,1,2,0
335.63,Debit,Oklahoma City,Online,55.0,Retired,215.99999999999997,1.0,1019.39,50.0-59.0,0,0,0
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,60.0-69.0,0,2,1
34.02,Debit,Philadelphia,Online,38.0,Doctor,18.999999999999996,1.0,14214.48,30.0-39.0,2,0,1
241.42000000000002,Credit,Charlotte,Online,57.0,Doctor,116.00000000000001,1.0,13357.02,50.0-59.0,2,0,2
55.32,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79000000000002,10.0-19.0,0,1,1
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,20.0-29.0,0,1,0
435.27,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,70.0-79.0,0,2,2
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,20.0-29.0,0,1,2
510.23999999999995,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,10.0-19.0,0,1,0
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,20.0-29.0,0,1,2
22.01,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.09,40.0-49.0,0,0,1
425.34,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.5399999999995,60.0-69.0,0,2,0
424.56,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,50.0-59.0,1,0,1
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,60.0-69.0,2,2,1
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8799999999999,20.0-29.0,0,1,1
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,60.0-69.0,0,2,1
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,20.0-29.0,0,1,0
60.540000000000006,Credit,Columbus,Branch,57.0,Retired,52.00000000000001,1.0,3534.93,50.0-59.0,0,0,2
292.56,Credit,Dallas,Branch,68.0,Retired,61.00000000000001,1.0,4638.37,60.0-69.0,0,2,2
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,40.0-49.0,1,0,0
112.07,Debit,Kansas City,Branch,23.0,Student,51.00000000000001,1.0,930.3,20.0-29.0,0,1,0
568.52,Debit,Indianapolis,ATM,46.0,Engineer,151.99999999999997,1.0,5499.91,40.0-49.0,1,0,0
263.99,Debit,Dallas,Branch,79.0,Retired,227.0,2.0,4175.02,70.0-79.0,0,2,2
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,40.0-49.0,1,0,0
601.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,50.0-59.0,1,0,1
5.77,Debit,Charlotte,Online,50.0,Doctor,123.99999999999999,1.0,13988.12,50.0-59.0,2,0,2
201.33,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,40.0-49.0,0,0,0
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,50.0-59.0,0,0,0
521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,20.0-29.0,0,1,2
117.28,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,60.0-69.0,0,2,2
189.12,Credit,Indianapolis,nan,32.0,Engineer,103.0,1.0,977.01,30.0-39.0,0,1,0
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.2800000000007,40.0-49.0,0,0,2
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,30.0-39.0,1,1,2
24.77,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,60.0-69.0,1,2,2
233.92,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,20.0-29.0,1,1,0
1212.51,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.9499999999999,20.0-29.0,0,1,0
232.12,Debit,nan,ATM,37.0,Engineer,51.00000000000001,1.0,6689.87,30.0-39.0,1,0,1
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.00000000000001,1.0,14676.05,40.0-49.0,2,0,0
120.29,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,10.0-19.0,0,1,0
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,50.0-59.0,2,0,1
183.71,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,30.0-39.0,0,0,2
345.39,Credit,Phoenix,nan,58.0,Engineer,80.0,1.0,6451.96,50.0-59.0,1,0,1
922.55,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,60.0-69.0,0,2,2
259.91,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,40.0-49.0,1,0,2
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,30.0-39.0,0,1,1
1340.19,Credit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,50.0-59.0,1,0,2
24.56,Debit,Mesa,Branch,64.0,Doctor,69.00000000000001,1.0,9869.93,60.0-69.0,1,2,0
568.07,nan,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,40.0-49.0,2,0,1
9.61,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,50.0-59.0,2,0,1
392.96,Debit,Kansas City,Online,24.0,Student,100.00000000000001,1.0,791.65,20.0-29.0,0,1,0
716.93,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,60.0-69.0,0,2,0
223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,4.0,2929.91,50.0-59.0,0,0,0
230.66,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,20.0-29.0,0,1,0
644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,20.0-29.0,0,1,1
508.67999999999995,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,50.0-59.0,1,0,0
858.63,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,20.0-29.0,0,1,1
25.36,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,50.0-59.0,0,0,0
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,70.0-79.0,0,2,2
115.02,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,30.0-39.0,1,0,1
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,30.0-39.0,1,1,2
98.54,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,20.0-29.0,1,1,2
83.24,nan,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,50.0-59.0,0,0,2
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,20.0-29.0,1,1,1
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.919999999999,30.0-39.0,1,1,0
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.00000000000001,1.0,9418.08,40.0-49.0,1,0,2
114.98,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,50.0-59.0,1,2,1
756.59,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,20.0-29.0,0,1,1
503.76000000000005,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,20.0-29.0,0,1,0
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.450000000001,60.0-69.0,1,2,1
1045.22,Debit,Columbus,ATM,53.0,Retired,73.0,1.0,1829.9,50.0-59.0,0,0,2
245.54,nan,New York,ATM,25.0,Student,180.0,1.0,985.0600000000001,20.0-29.0,0,1,0
254.37000000000003,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,50.0-59.0,1,0,2
213.76,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,70.0-79.0,0,2,2
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,40.0-49.0,0,0,0
2.5,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,40.0-49.0,2,0,1
300.08,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,60.0-69.0,2,2,2
56.98,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,2.0,5688.37,40.0-49.0,1,0,0
407.65,Debit,Boston,Online,26.0,Engineer,61.99999999999999,1.0,8346.64,20.0-29.0,1,1,2
115.83,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,30.0-39.0,1,0,0
53.57,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,60.0-69.0,0,2,0
63.34,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,40.0-49.0,2,0,2
317.87,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,20.0-29.0,0,1,2
331.65,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,40.0-49.0,0,0,1
5.04,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,50.0-59.0,1,0,1
214.54,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,70.0-79.0,2,2,2
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,50.0-59.0,0,0,1
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,20.0-29.0,0,1,1
38.15,Debit,Mesa,Online,26.0,Student,107.99999999999999,1.0,303.68,20.0-29.0,0,1,0
1036.66,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,50.0-59.0,1,0,1
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,30.0-39.0,1,1,0
302.45,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,70.0-79.0,1,2,1
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,40.0-49.0,1,0,0
5.77,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,20.0-29.0,0,1,0
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,50.0-59.0,2,0,2
16.16,Debit,Milwaukee,ATM,50.0,Doctor,123.99999999999999,1.0,14401.17,50.0-59.0,2,0,0
486.0799999999999,Debit,Oklahoma City,Online,18.0,Student,68.00000000000001,1.0,1748.69,10.0-19.0,0,1,0
336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,20.0-29.0,0,1,1
997.4299999999998,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,60.0-69.0,1,2,1
234.57,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,20.0-29.0,0,1,2
6.0,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,30.0-39.0,1,1,2
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,10.0-19.0,0,1,2
233.74,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.59,60.0-69.0,0,2,0
45.85,Debit,Los Angeles,ATM,20.0,Student,91.99999999999999,1.0,1659.15,20.0-29.0,0,1,0
973.3899999999999,Debit,Sacramento,Branch,77.0,Retired,296.0,1.0,2042.22,70.0-79.0,0,2,1
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,60.0-69.0,2,2,0
265.76,Debit,Philadelphia,Online,54.0,Retired,91.99999999999999,1.0,4446.17,50.0-59.0,0,0,1
332.93,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,30.0-39.0,0,1,2
267.9,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,20.0-29.0,0,1,1
496.0299999999999,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,60.0-69.0,2,2,1
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,30.0-39.0,1,0,1
83.02,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,30.0-39.0,1,1,1
93.26,Credit,New York,Online,20.0,Student,72.0,1.0,1152.2,20.0-29.0,0,1,0
803.37,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,60.0-69.0,2,2,0
35.76,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999999,20.0-29.0,0,1,2
28.53,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,60.0-69.0,1,2,1
139.53,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,50.0-59.0,2,0,0
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,30.0-39.0,1,1,2
60.650000000000006,Credit,Tucson,Branch,56.0,Retired,53.00000000000001,1.0,1047.28,50.0-59.0,0,0,1
74.86,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,70.0-79.0,1,2,0
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,30.0-39.0,0,1,0
126.20999999999998,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,70.0-79.0,1,2,2
506.28,Credit,Chicago,Online,53.0,Retired,162.0,2.0,1309.95,50.0-59.0,0,0,2
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,30.0-39.0,0,1,0
281.85,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,20.0-29.0,0,1,2
777.88,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,30.0-39.0,1,1,0
119.18,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,50.0-59.0,1,0,0
177.19,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,70.0-79.0,1,2,2
260.88,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,20.0-29.0,0,1,2
169.47,Debit,Chicago,Online,24.0,Student,18.999999999999996,1.0,1806.16,20.0-29.0,0,1,2
73.23,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999999,20.0-29.0,0,1,1
1362.55,Debit,El Paso,ATM,29.0,Engineer,106.0,1.0,2429.68,20.0-29.0,0,1,2
792.57,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,10.0-19.0,0,1,2
237.06,Debit,Phoenix,Online,71.0,Retired,45.99999999999999,1.0,1182.77,70.0-79.0,0,2,1
34.17,Credit,Philadelphia,Online,54.0,Engineer,53.99999999999999,1.0,726.55,50.0-59.0,0,0,1
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,40.0-49.0,2,0,1
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,50.0-59.0,2,0,2
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.00000000000001,1.0,7885.64,70.0-79.0,1,2,0
110.93,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.3499999999997,10.0-19.0,0,1,1
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,50.0-59.0,1,2,0
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,50.0-59.0,0,2,1
1041.88,Debit,Jacksonville,Online,78.0,Retired,57.0,1.0,5726.2,70.0-79.0,1,2,0
630.36,Debit,Mesa,ATM,62.0,Retired,52.00000000000001,1.0,1363.65,60.0-69.0,0,2,0
10.94,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.99,60.0-69.0,0,2,1
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.280000000001,30.0-39.0,1,0,0
1422.55,Debit,Washington,Branch,79.0,Retired,165.0,1.0,5674.32,70.0-79.0,1,2,1
226.37,nan,Louisville,Branch,49.0,Doctor,141.0,1.0,9840.04,40.0-49.0,1,0,0
444.89,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,40.0-49.0,2,0,0
280.57,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.24,20.0-29.0,0,1,1
488.54,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,50.0-59.0,1,0,0
3.3,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,50.0-59.0,2,0,0
199.39,nan,Colorado Springs,Branch,69.0,Retired,165.0,1.0,7264.79,60.0-69.0,1,2,2
20.36,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,60.0-69.0,0,2,1
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,50.0-59.0,1,0,2
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0,10.0-19.0,0,1,0
11.18,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,40.0-49.0,1,0,2
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,50.0-59.0,1,2,1
140.98,Debit,Memphis,Branch,60.0,Engineer,100.00000000000001,1.0,8127.4800000000005,60.0-69.0,1,2,0
288.04,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,60.0-69.0,0,2,2
800.55,Debit,Oklahoma City,ATM,31.0,Engineer,107.99999999999999,1.0,9660.22,30.0-39.0,1,1,0
485.54,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,40.0-49.0,1,0,0
521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,50.0-59.0,1,0,0
304.93,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.22,60.0-69.0,2,2,1
432.08,nan,El Paso,ATM,40.0,Doctor,145.0,1.0,11500.62,40.0-49.0,2,0,2
694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,60.0-69.0,0,2,0
116.86,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,50.0-59.0,1,0,0
74.88,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.67,20.0-29.0,0,1,2
890.24,Credit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,30.0-39.0,1,1,0
361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,60.0-69.0,1,2,1
131.56,Debit,Charlotte,Branch,44.0,Doctor,42.00000000000001,1.0,5873.54,40.0-49.0,1,0,2
485.51,Credit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,70.0-79.0,0,2,0
547.87,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,60.0-69.0,1,2,2
457.3,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,20.0-29.0,1,1,1
506.24,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09,50.0-59.0,0,0,2
486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,50.0-59.0,0,0,0
163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,40.0-49.0,2,0,1
581.65,Debit,Boston,ATM,22.0,Student,176.0,1.0,480.19000000000005,20.0-29.0,0,1,2
52.01,Debit,Mesa,ATM,48.0,Doctor,85.0,1.0,1120.88,40.0-49.0,0,0,0
630.24,Debit,Boston,ATM,21.0,Student,61.99999999999999,1.0,370.81,20.0-29.0,0,1,2
523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,40.0-49.0,2,0,0
705.6,Debit,Phoenix,Branch,40.0,Doctor,123.99999999999999,3.0,14804.7,40.0-49.0,2,0,1
217.5,Credit,Denver,Branch,46.0,Engineer,35.0,1.0,3057.4,40.0-49.0,0,0,2
91.48,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.779999999999,50.0-59.0,2,0,2
5.25,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,30.0-39.0,2,0,1
54.03,Credit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,50.0-59.0,1,0,0
736.73,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,40.0-49.0,0,0,0
368.91,nan,Virginia Beach,Branch,54.0,Doctor,14.0,1.0,829.7099999999999,50.0-59.0,0,0,1
33.06,Credit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,50.0-59.0,0,0,2
66.5,Credit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,30.0-39.0,1,1,0
177.08,Debit,Las Vegas,nan,35.0,Doctor,85.0,1.0,13475.14,30.0-39.0,2,1,0
588.54,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999999,30.0-39.0,0,1,1
173.5,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.91,20.0-29.0,0,1,0
78.33,Credit,Memphis,Online,56.0,Engineer,189.0,1.0,7255.33,50.0-59.0,1,0,0
40.66,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.84,50.0-59.0,0,2,0
97.22,Credit,Atlanta,Branch,77.0,Retired,55.0,1.0,6647.73,70.0-79.0,1,2,2
34.07,Debit,Philadelphia,Branch,22.0,Student,81.0,1.0,8709.77,20.0-29.0,1,1,1
492.06000000000006,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.9,20.0-29.0,0,1,0
842.01,Credit,Virginia Beach,Online,53.0,Doctor,185.0,1.0,509.45000000000005,50.0-59.0,0,0,1
73.55,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,50.0-59.0,0,0,2
760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,50.0-59.0,1,0,1
371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,60.0-69.0,0,2,1
218.96,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,10.0-19.0,0,1,1
227.39,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.09,10.0-19.0,0,1,2
237.99,Credit,Kansas City,Branch,39.0,Doctor,86.0,1.0,8510.09,30.0-39.0,1,0,0
186.6,Debit,nan,Online,58.0,Doctor,13.0,1.0,1508.72,50.0-59.0,0,0,1
341.15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.36999999999995,10.0-19.0,0,1,1
434.58,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,50.0-59.0,2,2,0
312.88,Credit,Portland,Branch,54.0,Engineer,44.0,1.0,233.21,50.0-59.0,0,0,1
75.15,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.92,20.0-29.0,0,1,2
23.3,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,50.0-59.0,1,2,0
47.38,Credit,Seattle,Online,25.0,Student,61.00000000000001,1.0,459.37,20.0-29.0,0,1,1
512.81,Debit,Sacramento,Branch,79.0,Retired,30.0,1.0,6994.34,70.0-79.0,1,2,1
488.15000000000003,Debit,Louisville,Branch,43.0,Engineer,168.00000000000003,1.0,7071.09,40.0-49.0,1,0,0
12.82,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,40.0-49.0,1,0,2
66.9,Credit,Charlotte,Online,79.0,Retired,129.0,4.0,5238.71,70.0-79.0,1,2,2
535.91,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,40.0-49.0,1,0,0
270.72,Credit,Washington,Online,26.0,Engineer,53.00000000000001,1.0,6263.96,20.0-29.0,1,1,1
97.98,Debit,Denver,Branch,72.0,Retired,18.0,1.0,7460.329999999999,70.0-79.0,1,2,2
196.08,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,60.0-69.0,0,2,1
251.18000000000004,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,40.0-49.0,1,0,1
44.52,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.28,20.0-29.0,0,1,2
